event_number,event_label,utc_timestamp,monotonic_s,elapsed_since_shimmer_s,elapsed_s,block,trial,detail
1,experiment_start,2026-06-30T19:23:38.395653+00:00,1835747.265,0.0168,0.0,,,participant=pilot
2,instruction_start,2026-06-30T19:23:39.636009+00:00,1835748.5,1.2571,1.235,,,
3,instruction_end,2026-06-30T19:24:01.900549+00:00,1835770.765,23.5217,23.5,,,
4,baseline_start,2026-06-30T19:24:01.900549+00:00,1835770.765,23.5217,23.5,,,
5,baseline_end,2026-06-30T19:24:02.937790+00:00,1835771.796,24.5589,24.531,,,
6,block_start,2026-06-30T19:24:03.303162+00:00,1835772.171,24.9243,24.906,loud,1,individu
7,countdown_start,2026-06-30T19:24:03.310129+00:00,1835772.171,24.9312,24.906,loud,1,
8,countdown_end,2026-06-30T19:24:06.376991+00:00,1835775.234,27.9981,27.969,loud,1,
9,sound_play_start,2026-06-30T19:24:06.588038+00:00,1835775.453,28.2092,28.188,loud,1,BLOC SIMPLE.wav
10,sound_play_end,2026-06-30T19:27:06.959362+00:00,1835955.828,208.5805,208.563,loud,1,BLOC SIMPLE.wav
11,block_end,2026-06-30T19:27:06.964941+00:00,1835955.828,208.5861,208.563,loud,1,
12,rest_start,2026-06-30T19:27:06.964941+00:00,1835955.828,208.5861,208.563,,,
13,rest_end,2026-06-30T19:27:09.972513+00:00,1835958.843,211.5936,211.578,,,
14,block_start,2026-06-30T19:27:09.972513+00:00,1835958.843,211.5936,211.578,original,2,individu
15,countdown_start,2026-06-30T19:27:09.973525+00:00,1835958.843,211.5946,211.578,original,1,
16,countdown_end,2026-06-30T19:27:13.039461+00:00,1835961.906,214.6606,214.641,original,1,
17,sound_play_start,2026-06-30T19:27:13.218176+00:00,1835962.078,214.8393,214.813,original,1,BLOC SIMPLE.wav
18,sound_play_end,2026-06-30T19:30:13.531609+00:00,1836142.39,395.1527,395.125,original,1,BLOC SIMPLE.wav
19,block_end,2026-06-30T19:30:13.533669+00:00,1836142.39,395.1548,395.125,original,2,
20,rest_start,2026-06-30T19:30:13.533669+00:00,1836142.39,395.1548,395.125,,,
21,rest_end,2026-06-30T19:30:16.548657+00:00,1836145.406,398.1698,398.141,,,
22,block_start,2026-06-30T19:30:16.548657+00:00,1836145.406,398.1698,398.141,quiet,3,individu
23,countdown_start,2026-06-30T19:30:16.548657+00:00,1836145.406,398.1698,398.141,quiet,1,
24,countdown_end,2026-06-30T19:30:19.749432+00:00,1836148.609,401.3706,401.344,quiet,1,
25,sound_play_start,2026-06-30T19:30:19.926847+00:00,1836148.796,401.548,401.531,quiet,1,BLOC SIMPLE.wav
26,sound_play_end,2026-06-30T19:33:20.231841+00:00,1836329.093,581.853,581.828,quiet,1,BLOC SIMPLE.wav
27,block_end,2026-06-30T19:33:20.234393+00:00,1836329.093,581.8555,581.828,quiet,3,
28,rest_start,2026-06-30T19:33:20.234393+00:00,1836329.093,581.8555,581.828,,,
29,rest_end,2026-06-30T19:33:23.245917+00:00,1836332.109,584.867,584.844,,,
30,block_start,2026-06-30T19:33:23.245917+00:00,1836332.109,584.867,584.844,quiet,4,quatre_sons
31,countdown_start,2026-06-30T19:33:23.245917+00:00,1836332.109,584.867,584.844,quatre_sons,3,
32,countdown_end,2026-06-30T19:33:26.258832+00:00,1836335.125,587.88,587.86,quatre_sons,3,
33,sound_play_start,2026-06-30T19:33:26.258832+00:00,1836335.125,587.88,587.86,quatre_sons,3.1,BLOC 5.wav
34,sound_play_end,2026-06-30T19:33:42.911919+00:00,1836351.781,604.533,604.516,quatre_sons,3.1,BLOC 5.wav
35,sound_play_start,2026-06-30T19:33:42.911919+00:00,1836351.781,604.533,604.516,quatre_sons,3.2,BLOC 3.wav
36,sound_play_end,2026-06-30T19:33:57.901674+00:00,1836366.765,619.5228,619.5,quatre_sons,3.2,BLOC 3.wav
37,sound_play_start,2026-06-30T19:33:57.901674+00:00,1836366.765,619.5228,619.5,quatre_sons,3.3,BLOC 5.wav
38,sound_play_end,2026-06-30T19:34:14.551354+00:00,1836383.421,636.1725,636.156,quatre_sons,3.3,BLOC 5.wav
39,sound_play_start,2026-06-30T19:34:14.551354+00:00,1836383.421,636.1725,636.156,quatre_sons,3.4,BLOC 2.wav
40,sound_play_end,2026-06-30T19:34:30.061874+00:00,1836398.921,651.683,651.656,quatre_sons,3.4,BLOC 2.wav
41,sound_play_start,2026-06-30T19:34:30.061874+00:00,1836398.921,651.683,651.656,quatre_sons,3.5,BLOC 1.wav
42,sound_play_end,2026-06-30T19:34:44.301913+00:00,1836413.171,665.923,665.906,quatre_sons,3.5,BLOC 1.wav
43,sound_play_start,2026-06-30T19:34:44.305550+00:00,1836413.171,665.9267,665.906,quatre_sons,3.6,BLOC 4.wav
44,sound_play_end,2026-06-30T19:35:00.083439+00:00,1836428.953,681.7046,681.688,quatre_sons,3.6,BLOC 4.wav
45,sound_play_start,2026-06-30T19:35:00.091647+00:00,1836428.953,681.7128,681.688,quatre_sons,3.7,BLOC 3.wav
46,sound_play_end,2026-06-30T19:35:15.091628+00:00,1836443.953,696.7127,696.688,quatre_sons,3.7,BLOC 3.wav
47,sound_play_start,2026-06-30T19:35:15.093752+00:00,1836443.953,696.7149,696.688,quatre_sons,3.8,BLOC 5.wav
48,sound_play_end,2026-06-30T19:35:31.741651+00:00,1836460.609,713.3628,713.344,quatre_sons,3.8,BLOC 5.wav
49,sound_play_start,2026-06-30T19:35:31.741651+00:00,1836460.609,713.3628,713.344,quatre_sons,3.9,BLOC 2.wav
50,sound_play_end,2026-06-30T19:35:47.241952+00:00,1836476.109,728.8631,728.844,quatre_sons,3.9,BLOC 2.wav
51,sound_play_start,2026-06-30T19:35:47.241952+00:00,1836476.109,728.8631,728.844,quatre_sons,3.10,BLOC 1.wav
52,sound_play_end,2026-06-30T19:36:01.470690+00:00,1836490.328,743.0918,743.063,quatre_sons,3.10,BLOC 1.wav
53,sound_play_start,2026-06-30T19:36:01.474355+00:00,1836490.343,743.0955,743.078,quatre_sons,3.11,BLOC 2.wav
54,sound_play_end,2026-06-30T19:36:16.972794+00:00,1836505.843,758.5939,758.578,quatre_sons,3.11,BLOC 2.wav
55,sound_play_start,2026-06-30T19:36:16.972794+00:00,1836505.843,758.5939,758.578,quatre_sons,3.12,BLOC 1.wav
56,sound_play_end,2026-06-30T19:36:31.230850+00:00,1836520.093,772.852,772.828,quatre_sons,3.12,BLOC 1.wav
57,block_end,2026-06-30T19:36:31.232447+00:00,1836520.093,772.8536,772.828,quiet,4,
58,rest_start,2026-06-30T19:36:31.232447+00:00,1836520.093,772.8536,772.828,,,
59,rest_end,2026-06-30T19:36:34.255919+00:00,1836523.125,775.877,775.86,,,
60,block_start,2026-06-30T19:36:34.255919+00:00,1836523.125,775.877,775.86,original,5,quatre_sons
61,countdown_start,2026-06-30T19:36:34.255919+00:00,1836523.125,775.877,775.86,quatre_sons,1,
62,countdown_end,2026-06-30T19:36:37.271854+00:00,1836526.14,778.893,778.875,quatre_sons,1,
63,sound_play_start,2026-06-30T19:36:37.271854+00:00,1836526.14,778.893,778.875,quatre_sons,1.1,BLOC 5.wav
64,sound_play_end,2026-06-30T19:36:53.923024+00:00,1836542.781,795.5441,795.516,quatre_sons,1.1,BLOC 5.wav
65,sound_play_start,2026-06-30T19:36:53.932806+00:00,1836542.796,795.5539,795.531,quatre_sons,1.2,BLOC 2.wav
66,sound_play_end,2026-06-30T19:37:09.422516+00:00,1836558.281,811.0436,811.016,quatre_sons,1.2,BLOC 2.wav
67,sound_play_start,2026-06-30T19:37:09.427646+00:00,1836558.296,811.0488,811.031,quatre_sons,1.3,BLOC 1.wav
68,sound_play_end,2026-06-30T19:37:23.652477+00:00,1836572.515,825.2736,825.25,quatre_sons,1.3,BLOC 1.wav
69,sound_play_start,2026-06-30T19:37:23.652477+00:00,1836572.515,825.2736,825.25,quatre_sons,1.4,BLOC 3.wav
70,sound_play_end,2026-06-30T19:37:38.662435+00:00,1836587.531,840.2836,840.266,quatre_sons,1.4,BLOC 3.wav
71,sound_play_start,2026-06-30T19:37:38.662435+00:00,1836587.531,840.2836,840.266,quatre_sons,1.5,BLOC 5.wav
72,sound_play_end,2026-06-30T19:37:55.312856+00:00,1836604.171,856.934,856.906,quatre_sons,1.5,BLOC 5.wav
73,sound_play_start,2026-06-30T19:37:55.322502+00:00,1836604.187,856.9436,856.922,quatre_sons,1.6,BLOC 3.wav
74,sound_play_end,2026-06-30T19:38:10.345464+00:00,1836619.203,871.9666,871.938,quatre_sons,1.6,BLOC 3.wav
75,sound_play_start,2026-06-30T19:38:10.345464+00:00,1836619.203,871.9666,871.938,quatre_sons,1.7,BLOC 2.wav
76,sound_play_end,2026-06-30T19:38:25.835402+00:00,1836634.703,887.4565,887.438,quatre_sons,1.7,BLOC 2.wav
77,sound_play_start,2026-06-30T19:38:25.842438+00:00,1836634.703,887.4636,887.438,quatre_sons,1.8,BLOC 3.wav
78,sound_play_end,2026-06-30T19:38:40.842604+00:00,1836649.703,902.4637,902.438,quatre_sons,1.8,BLOC 3.wav
79,sound_play_start,2026-06-30T19:38:40.847616+00:00,1836649.718,902.4687,902.453,quatre_sons,1.9,BLOC 2.wav
80,sound_play_end,2026-06-30T19:38:56.348874+00:00,1836665.218,917.97,917.953,quatre_sons,1.9,BLOC 2.wav
81,sound_play_start,2026-06-30T19:38:56.352536+00:00,1836665.218,917.9737,917.953,quatre_sons,1.10,BLOC 4.wav
82,sound_play_end,2026-06-30T19:39:12.142644+00:00,1836681.0,933.7638,933.735,quatre_sons,1.10,BLOC 4.wav
83,sound_play_start,2026-06-30T19:39:12.152767+00:00,1836681.015,933.7739,933.75,quatre_sons,1.11,BLOC 5.wav
84,sound_play_end,2026-06-30T19:39:28.792688+00:00,1836697.656,950.4138,950.391,quatre_sons,1.11,BLOC 5.wav
85,sound_play_start,2026-06-30T19:39:28.802632+00:00,1836697.671,950.4238,950.406,quatre_sons,1.12,BLOC 4.wav
86,sound_play_end,2026-06-30T19:39:44.573100+00:00,1836713.437,966.1942,966.172,quatre_sons,1.12,BLOC 4.wav
87,block_end,2026-06-30T19:39:44.582884+00:00,1836713.453,966.204,966.188,original,5,
88,rest_start,2026-06-30T19:39:44.582884+00:00,1836713.453,966.204,966.188,,,
89,rest_end,2026-06-30T19:39:47.601525+00:00,1836716.468,969.2226,969.203,,,
90,block_start,2026-06-30T19:39:47.601525+00:00,1836716.468,969.2226,969.203,loud,6,quatre_sons
91,countdown_start,2026-06-30T19:39:47.601525+00:00,1836716.468,969.2226,969.203,quatre_sons,2,
92,countdown_end,2026-06-30T19:39:50.626779+00:00,1836719.484,972.2479,972.219,quatre_sons,2,
93,sound_play_start,2026-06-30T19:39:50.626779+00:00,1836719.484,972.2479,972.219,quatre_sons,2.1,BLOC 5.wav
94,sound_play_end,2026-06-30T19:40:07.273781+00:00,1836736.14,988.8949,988.875,quatre_sons,2.1,BLOC 5.wav
95,sound_play_start,2026-06-30T19:40:07.283667+00:00,1836736.14,988.9048,988.875,quatre_sons,2.2,BLOC 4.wav
96,sound_play_end,2026-06-30T19:40:23.063874+00:00,1836751.921,1004.685,1004.656,quatre_sons,2.2,BLOC 4.wav
97,sound_play_start,2026-06-30T19:40:23.063874+00:00,1836751.921,1004.685,1004.656,quatre_sons,2.3,BLOC 3.wav
98,sound_play_end,2026-06-30T19:40:38.063921+00:00,1836766.921,1019.685,1019.656,quatre_sons,2.3,BLOC 3.wav
99,sound_play_start,2026-06-30T19:40:38.063921+00:00,1836766.921,1019.685,1019.656,quatre_sons,2.4,BLOC 5.wav
100,sound_play_end,2026-06-30T19:40:54.703809+00:00,1836783.562,1036.3249,1036.297,quatre_sons,2.4,BLOC 5.wav
101,sound_play_start,2026-06-30T19:40:54.713697+00:00,1836783.578,1036.3348,1036.313,quatre_sons,2.5,BLOC 4.wav
102,sound_play_end,2026-06-30T19:41:10.473950+00:00,1836799.343,1052.0951,1052.078,quatre_sons,2.5,BLOC 4.wav
103,sound_play_start,2026-06-30T19:41:10.485504+00:00,1836799.343,1052.1066,1052.078,quatre_sons,2.6,BLOC 2.wav
104,sound_play_end,2026-06-30T19:41:25.973855+00:00,1836814.843,1067.595,1067.578,quatre_sons,2.6,BLOC 2.wav
105,sound_play_start,2026-06-30T19:41:25.973855+00:00,1836814.843,1067.595,1067.578,quatre_sons,2.7,BLOC 3.wav
106,sound_play_end,2026-06-30T19:41:40.973668+00:00,1836829.843,1082.5948,1082.578,quatre_sons,2.7,BLOC 3.wav
107,sound_play_start,2026-06-30T19:41:40.973668+00:00,1836829.843,1082.5948,1082.578,quatre_sons,2.8,BLOC 1.wav
108,sound_play_end,2026-06-30T19:41:55.198182+00:00,1836844.062,1096.8193,1096.797,quatre_sons,2.8,BLOC 1.wav
109,sound_play_start,2026-06-30T19:41:55.203813+00:00,1836844.062,1096.8249,1096.797,quatre_sons,2.9,BLOC 3.wav
110,sound_play_end,2026-06-30T19:42:10.213524+00:00,1836859.078,1111.8346,1111.813,quatre_sons,2.9,BLOC 3.wav
111,sound_play_start,2026-06-30T19:42:10.213524+00:00,1836859.078,1111.8346,1111.813,quatre_sons,2.10,BLOC 2.wav
112,sound_play_end,2026-06-30T19:42:25.703540+00:00,1836874.562,1127.3247,1127.297,quatre_sons,2.10,BLOC 2.wav
113,sound_play_start,2026-06-30T19:42:25.713847+00:00,1836874.578,1127.335,1127.313,quatre_sons,2.11,BLOC 5.wav
114,sound_play_end,2026-06-30T19:42:42.348663+00:00,1836891.218,1143.9698,1143.953,quatre_sons,2.11,BLOC 5.wav
115,sound_play_start,2026-06-30T19:42:42.353948+00:00,1836891.218,1143.9751,1143.953,quatre_sons,2.12,BLOC 1.wav
116,sound_play_end,2026-06-30T19:42:56.583659+00:00,1836905.453,1158.2048,1158.188,quatre_sons,2.12,BLOC 1.wav
117,block_end,2026-06-30T19:42:56.583659+00:00,1836905.453,1158.2048,1158.188,loud,6,
118,post_recovery_start,2026-06-30T19:42:56.583659+00:00,1836905.453,1158.2048,1158.188,,,
119,post_recovery_end,2026-06-30T19:42:57.620299+00:00,1836906.484,1159.2414,1159.219,,,
120,thankyou_screen,2026-06-30T19:42:57.620299+00:00,1836906.484,1159.2414,1159.219,,,
121,experiment_end,2026-06-30T19:43:01.417499+00:00,1836910.281,1163.0386,1163.016,,,
